po_item_source_key,po_source_key,product_id,ordered_quantity,order_unit
POI-PO-2024-04-13-2024-04-15-SUP_A-CROISSANT,PO-2024-04-13-2024-04-15-SUP_A,CROISSANT,25.000000,each
POI-PO-2024-04-13-2024-04-15-SUP_B-MILK_FULL,PO-2024-04-13-2024-04-15-SUP_B,MILK_FULL,16.000000,bottle
POI-PO-2024-04-13-2024-04-15-SUP_B-MILK_OAT,PO-2024-04-13-2024-04-15-SUP_B,MILK_OAT,12.000000,carton
POI-PO-2024-04-13-2024-04-15-SUP_C-EGGS,PO-2024-04-13-2024-04-15-SUP_C,EGGS,9.000000,tray
POI-PO-2024-04-13-2024-04-15-SUP_D-COFFEE_REGULAR,PO-2024-04-13-2024-04-15-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-14-2024-04-15-SUP_A-CROISSANT,PO-2024-04-14-2024-04-15-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-14-2024-04-15-SUP_B-MILK_FULL,PO-2024-04-14-2024-04-15-SUP_B,MILK_FULL,15.000000,bottle
POI-PO-2024-04-15-2024-04-16-SUP_A-CROISSANT,PO-2024-04-15-2024-04-16-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-15-2024-04-16-SUP_B-MILK_FULL,PO-2024-04-15-2024-04-16-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-15-2024-04-16-SUP_B-MILK_OAT,PO-2024-04-15-2024-04-16-SUP_B,MILK_OAT,12.000000,carton
POI-PO-2024-04-16-2024-04-17-SUP_A-CROISSANT,PO-2024-04-16-2024-04-17-SUP_A,CROISSANT,21.000000,each
POI-PO-2024-04-16-2024-04-17-SUP_B-MILK_FULL,PO-2024-04-16-2024-04-17-SUP_B,MILK_FULL,16.000000,bottle
POI-PO-2024-04-16-2024-04-17-SUP_B-MILK_OAT,PO-2024-04-16-2024-04-17-SUP_B,MILK_OAT,12.000000,carton
POI-PO-2024-04-17-2024-04-18-SUP_A-CROISSANT,PO-2024-04-17-2024-04-18-SUP_A,CROISSANT,31.000000,each
POI-PO-2024-04-17-2024-04-18-SUP_B-MILK_FULL,PO-2024-04-17-2024-04-18-SUP_B,MILK_FULL,17.000000,bottle
POI-PO-2024-04-17-2024-04-18-SUP_B-MILK_OAT,PO-2024-04-17-2024-04-18-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-18-2024-04-19-SUP_A-CROISSANT,PO-2024-04-18-2024-04-19-SUP_A,CROISSANT,33.000000,each
POI-PO-2024-04-18-2024-04-19-SUP_B-MILK_FULL,PO-2024-04-18-2024-04-19-SUP_B,MILK_FULL,20.000000,bottle
POI-PO-2024-04-18-2024-04-19-SUP_B-MILK_OAT,PO-2024-04-18-2024-04-19-SUP_B,MILK_OAT,14.000000,carton
POI-PO-2024-04-18-2024-04-19-SUP_D-COFFEE_REGULAR,PO-2024-04-18-2024-04-19-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-19-2024-04-20-SUP_A-CROISSANT,PO-2024-04-19-2024-04-20-SUP_A,CROISSANT,91.000000,each
POI-PO-2024-04-19-2024-04-20-SUP_B-MILK_FULL,PO-2024-04-19-2024-04-20-SUP_B,MILK_FULL,37.000000,bottle
POI-PO-2024-04-19-2024-04-20-SUP_B-MILK_OAT,PO-2024-04-19-2024-04-20-SUP_B,MILK_OAT,24.000000,carton
POI-PO-2024-04-20-2024-04-22-SUP_A-CROISSANT,PO-2024-04-20-2024-04-22-SUP_A,CROISSANT,31.000000,each
POI-PO-2024-04-20-2024-04-22-SUP_B-MILK_FULL,PO-2024-04-20-2024-04-22-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-20-2024-04-22-SUP_B-MILK_OAT,PO-2024-04-20-2024-04-22-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-20-2024-04-22-SUP_C-EGGS,PO-2024-04-20-2024-04-22-SUP_C,EGGS,9.000000,tray
POI-PO-2024-04-20-2024-04-22-SUP_D-COFFEE_REGULAR,PO-2024-04-20-2024-04-22-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-21-2024-04-22-SUP_A-CROISSANT,PO-2024-04-21-2024-04-22-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-22-2024-04-23-SUP_A-CROISSANT,PO-2024-04-22-2024-04-23-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-22-2024-04-23-SUP_B-MILK_FULL,PO-2024-04-22-2024-04-23-SUP_B,MILK_FULL,19.000000,bottle
POI-PO-2024-04-22-2024-04-23-SUP_B-MILK_OAT,PO-2024-04-22-2024-04-23-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-23-2024-04-24-SUP_A-CROISSANT,PO-2024-04-23-2024-04-24-SUP_A,CROISSANT,27.000000,each
POI-PO-2024-04-23-2024-04-24-SUP_B-MILK_FULL,PO-2024-04-23-2024-04-24-SUP_B,MILK_FULL,20.000000,bottle
POI-PO-2024-04-23-2024-04-24-SUP_B-MILK_OAT,PO-2024-04-23-2024-04-24-SUP_B,MILK_OAT,14.000000,carton
POI-PO-2024-04-23-2024-04-24-SUP_D-COFFEE_REGULAR,PO-2024-04-23-2024-04-24-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-24-2024-04-25-SUP_A-CROISSANT,PO-2024-04-24-2024-04-25-SUP_A,CROISSANT,34.000000,each
POI-PO-2024-04-24-2024-04-25-SUP_B-MILK_FULL,PO-2024-04-24-2024-04-25-SUP_B,MILK_FULL,19.000000,bottle
POI-PO-2024-04-24-2024-04-25-SUP_B-MILK_OAT,PO-2024-04-24-2024-04-25-SUP_B,MILK_OAT,14.000000,carton
POI-PO-2024-04-25-2024-04-26-SUP_A-CROISSANT,PO-2024-04-25-2024-04-26-SUP_A,CROISSANT,31.000000,each
POI-PO-2024-04-25-2024-04-26-SUP_B-MILK_FULL,PO-2024-04-25-2024-04-26-SUP_B,MILK_FULL,17.000000,bottle
POI-PO-2024-04-25-2024-04-26-SUP_B-MILK_OAT,PO-2024-04-25-2024-04-26-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-26-2024-04-27-SUP_A-CROISSANT,PO-2024-04-26-2024-04-27-SUP_A,CROISSANT,97.000000,each
POI-PO-2024-04-26-2024-04-27-SUP_B-MILK_FULL,PO-2024-04-26-2024-04-27-SUP_B,MILK_FULL,38.000000,bottle
POI-PO-2024-04-26-2024-04-27-SUP_B-MILK_OAT,PO-2024-04-26-2024-04-27-SUP_B,MILK_OAT,26.000000,carton
POI-PO-2024-04-26-2024-04-27-SUP_D-COFFEE_REGULAR,PO-2024-04-26-2024-04-27-SUP_D,COFFEE_REGULAR,8.000000,bag
POI-PO-2024-04-27-2024-04-29-SUP_A-CROISSANT,PO-2024-04-27-2024-04-29-SUP_A,CROISSANT,26.000000,each
POI-PO-2024-04-27-2024-04-29-SUP_B-MILK_FULL,PO-2024-04-27-2024-04-29-SUP_B,MILK_FULL,16.000000,bottle
POI-PO-2024-04-27-2024-04-29-SUP_B-MILK_OAT,PO-2024-04-27-2024-04-29-SUP_B,MILK_OAT,11.000000,carton
POI-PO-2024-04-28-2024-04-29-SUP_A-CROISSANT,PO-2024-04-28-2024-04-29-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-29-2024-04-30-SUP_A-CROISSANT,PO-2024-04-29-2024-04-30-SUP_A,CROISSANT,20.000000,each
POI-PO-2024-04-29-2024-04-30-SUP_B-MILK_FULL,PO-2024-04-29-2024-04-30-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-29-2024-04-30-SUP_B-MILK_OAT,PO-2024-04-29-2024-04-30-SUP_B,MILK_OAT,14.000000,carton
POI-PO-2024-04-29-2024-05-01-SUP_C-EGGS,PO-2024-04-29-2024-05-01-SUP_C,EGGS,9.000000,tray
POI-PO-2024-04-30-2024-05-01-SUP_A-CROISSANT,PO-2024-04-30-2024-05-01-SUP_A,CROISSANT,31.000000,each
POI-PO-2024-04-30-2024-05-01-SUP_B-MILK_FULL,PO-2024-04-30-2024-05-01-SUP_B,MILK_FULL,18.000000,bottle
POI-PO-2024-04-30-2024-05-01-SUP_B-MILK_OAT,PO-2024-04-30-2024-05-01-SUP_B,MILK_OAT,13.000000,carton
POI-PO-2024-04-30-2024-05-01-SUP_D-COFFEE_REGULAR,PO-2024-04-30-2024-05-01-SUP_D,COFFEE_REGULAR,8.000000,bag
