pos_source_key,sale_date,menu_item_id,quantity_sold,unit_price,gross_revenue
POS-20240403-DEMO_ICED_LATTE,2024-04-03,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240403-DEMO_OAT_LATTE,2024-04-03,DEMO_OAT_LATTE,44,6.20,272.80
POS-20240403-DEMO_SMOOTHIE,2024-04-03,DEMO_SMOOTHIE,17,8.50,144.50
POS-20240404-DEMO_CROISSANT,2024-04-04,DEMO_CROISSANT,30,6.00,180.00
POS-20240404-DEMO_EGG_BREAKFAST,2024-04-04,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240404-DEMO_EGG_SANDWICH,2024-04-04,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240404-DEMO_FLAT_WHITE,2024-04-04,DEMO_FLAT_WHITE,77,5.50,423.50
POS-20240404-DEMO_HOT_CHOCOLATE,2024-04-04,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240404-DEMO_ICED_LATTE,2024-04-04,DEMO_ICED_LATTE,28,6.50,182.00
POS-20240404-DEMO_OAT_LATTE,2024-04-04,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240404-DEMO_SMOOTHIE,2024-04-04,DEMO_SMOOTHIE,14,8.50,119.00
POS-20240405-DEMO_CROISSANT,2024-04-05,DEMO_CROISSANT,31,6.00,186.00
POS-20240405-DEMO_EGG_BREAKFAST,2024-04-05,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240405-DEMO_EGG_SANDWICH,2024-04-05,DEMO_EGG_SANDWICH,15,13.00,195.00
POS-20240405-DEMO_FLAT_WHITE,2024-04-05,DEMO_FLAT_WHITE,82,5.50,451.00
POS-20240405-DEMO_HOT_CHOCOLATE,2024-04-05,DEMO_HOT_CHOCOLATE,23,6.00,138.00
POS-20240405-DEMO_ICED_LATTE,2024-04-05,DEMO_ICED_LATTE,30,6.50,195.00
POS-20240405-DEMO_OAT_LATTE,2024-04-05,DEMO_OAT_LATTE,42,6.20,260.40
POS-20240405-DEMO_SMOOTHIE,2024-04-05,DEMO_SMOOTHIE,16,8.50,136.00
POS-20240406-DEMO_CROISSANT,2024-04-06,DEMO_CROISSANT,46,6.00,276.00
POS-20240406-DEMO_EGG_BREAKFAST,2024-04-06,DEMO_EGG_BREAKFAST,14,22.00,308.00
POS-20240406-DEMO_EGG_SANDWICH,2024-04-06,DEMO_EGG_SANDWICH,13,13.00,169.00
POS-20240406-DEMO_FLAT_WHITE,2024-04-06,DEMO_FLAT_WHITE,74,5.50,407.00
POS-20240406-DEMO_HOT_CHOCOLATE,2024-04-06,DEMO_HOT_CHOCOLATE,26,6.00,156.00
POS-20240406-DEMO_ICED_LATTE,2024-04-06,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240406-DEMO_OAT_LATTE,2024-04-06,DEMO_OAT_LATTE,38,6.20,235.60
POS-20240406-DEMO_SMOOTHIE,2024-04-06,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240407-DEMO_CROISSANT,2024-04-07,DEMO_CROISSANT,39,6.00,234.00
POS-20240407-DEMO_EGG_BREAKFAST,2024-04-07,DEMO_EGG_BREAKFAST,9,22.00,198.00
POS-20240407-DEMO_EGG_SANDWICH,2024-04-07,DEMO_EGG_SANDWICH,12,13.00,156.00
POS-20240407-DEMO_FLAT_WHITE,2024-04-07,DEMO_FLAT_WHITE,73,5.50,401.50
POS-20240407-DEMO_HOT_CHOCOLATE,2024-04-07,DEMO_HOT_CHOCOLATE,25,6.00,150.00
POS-20240407-DEMO_ICED_LATTE,2024-04-07,DEMO_ICED_LATTE,24,6.50,156.00
POS-20240407-DEMO_OAT_LATTE,2024-04-07,DEMO_OAT_LATTE,37,6.20,229.40
POS-20240407-DEMO_SMOOTHIE,2024-04-07,DEMO_SMOOTHIE,12,8.50,102.00
POS-20240408-DEMO_CROISSANT,2024-04-08,DEMO_CROISSANT,31,6.00,186.00
POS-20240408-DEMO_EGG_BREAKFAST,2024-04-08,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240408-DEMO_EGG_SANDWICH,2024-04-08,DEMO_EGG_SANDWICH,15,13.00,195.00
POS-20240408-DEMO_FLAT_WHITE,2024-04-08,DEMO_FLAT_WHITE,79,5.50,434.50
POS-20240408-DEMO_HOT_CHOCOLATE,2024-04-08,DEMO_HOT_CHOCOLATE,22,6.00,132.00
POS-20240408-DEMO_ICED_LATTE,2024-04-08,DEMO_ICED_LATTE,33,6.50,214.50
POS-20240408-DEMO_OAT_LATTE,2024-04-08,DEMO_OAT_LATTE,40,6.20,248.00
POS-20240408-DEMO_SMOOTHIE,2024-04-08,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240409-DEMO_CROISSANT,2024-04-09,DEMO_CROISSANT,30,6.00,180.00
POS-20240409-DEMO_EGG_BREAKFAST,2024-04-09,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240409-DEMO_EGG_SANDWICH,2024-04-09,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240409-DEMO_FLAT_WHITE,2024-04-09,DEMO_FLAT_WHITE,77,5.50,423.50
POS-20240409-DEMO_HOT_CHOCOLATE,2024-04-09,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240409-DEMO_ICED_LATTE,2024-04-09,DEMO_ICED_LATTE,28,6.50,182.00
POS-20240409-DEMO_OAT_LATTE,2024-04-09,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240409-DEMO_SMOOTHIE,2024-04-09,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240410-DEMO_CROISSANT,2024-04-10,DEMO_CROISSANT,29,6.00,174.00
POS-20240410-DEMO_EGG_BREAKFAST,2024-04-10,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240410-DEMO_EGG_SANDWICH,2024-04-10,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240410-DEMO_FLAT_WHITE,2024-04-10,DEMO_FLAT_WHITE,75,5.50,412.50
POS-20240410-DEMO_HOT_CHOCOLATE,2024-04-10,DEMO_HOT_CHOCOLATE,20,6.00,120.00
POS-20240410-DEMO_ICED_LATTE,2024-04-10,DEMO_ICED_LATTE,27,6.50,175.50
POS-20240410-DEMO_OAT_LATTE,2024-04-10,DEMO_OAT_LATTE,38,6.20,235.60
POS-20240410-DEMO_SMOOTHIE,2024-04-10,DEMO_SMOOTHIE,13,8.50,110.50
POS-20240411-DEMO_CROISSANT,2024-04-11,DEMO_CROISSANT,30,6.00,180.00
POS-20240411-DEMO_EGG_BREAKFAST,2024-04-11,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240411-DEMO_EGG_SANDWICH,2024-04-11,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240411-DEMO_FLAT_WHITE,2024-04-11,DEMO_FLAT_WHITE,78,5.50,429.00
POS-20240411-DEMO_HOT_CHOCOLATE,2024-04-11,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240411-DEMO_ICED_LATTE,2024-04-11,DEMO_ICED_LATTE,28,6.50,182.00
POS-20240411-DEMO_OAT_LATTE,2024-04-11,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240411-DEMO_SMOOTHIE,2024-04-11,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240412-DEMO_CROISSANT,2024-04-12,DEMO_CROISSANT,24,6.00,144.00
POS-20240412-DEMO_EGG_BREAKFAST,2024-04-12,DEMO_EGG_BREAKFAST,3,22.00,66.00
POS-20240412-DEMO_EGG_SANDWICH,2024-04-12,DEMO_EGG_SANDWICH,11,13.00,143.00
POS-20240412-DEMO_FLAT_WHITE,2024-04-12,DEMO_FLAT_WHITE,70,5.50,385.00
POS-20240412-DEMO_HOT_CHOCOLATE,2024-04-12,DEMO_HOT_CHOCOLATE,19,6.00,114.00
POS-20240412-DEMO_ICED_LATTE,2024-04-12,DEMO_ICED_LATTE,22,6.50,143.00
POS-20240412-DEMO_OAT_LATTE,2024-04-12,DEMO_OAT_LATTE,35,6.20,217.00
POS-20240412-DEMO_SMOOTHIE,2024-04-12,DEMO_SMOOTHIE,11,8.50,93.50
POS-20240413-DEMO_CROISSANT,2024-04-13,DEMO_CROISSANT,42,6.00,252.00
POS-20240413-DEMO_EGG_BREAKFAST,2024-04-13,DEMO_EGG_BREAKFAST,11,22.00,242.00
POS-20240413-DEMO_EGG_SANDWICH,2024-04-13,DEMO_EGG_SANDWICH,13,13.00,169.00
POS-20240413-DEMO_FLAT_WHITE,2024-04-13,DEMO_FLAT_WHITE,67,5.50,368.50
POS-20240413-DEMO_HOT_CHOCOLATE,2024-04-13,DEMO_HOT_CHOCOLATE,23,6.00,138.00
POS-20240413-DEMO_ICED_LATTE,2024-04-13,DEMO_ICED_LATTE,25,6.50,162.50
POS-20240413-DEMO_OAT_LATTE,2024-04-13,DEMO_OAT_LATTE,34,6.20,210.80
POS-20240413-DEMO_SMOOTHIE,2024-04-13,DEMO_SMOOTHIE,14,8.50,119.00
POS-20240414-DEMO_CROISSANT,2024-04-14,DEMO_CROISSANT,52,6.00,312.00
POS-20240414-DEMO_EGG_BREAKFAST,2024-04-14,DEMO_EGG_BREAKFAST,14,22.00,308.00
POS-20240414-DEMO_EGG_SANDWICH,2024-04-14,DEMO_EGG_SANDWICH,16,13.00,208.00
POS-20240414-DEMO_FLAT_WHITE,2024-04-14,DEMO_FLAT_WHITE,83,5.50,456.50
POS-20240414-DEMO_HOT_CHOCOLATE,2024-04-14,DEMO_HOT_CHOCOLATE,29,6.00,174.00
POS-20240414-DEMO_ICED_LATTE,2024-04-14,DEMO_ICED_LATTE,31,6.50,201.50
POS-20240414-DEMO_OAT_LATTE,2024-04-14,DEMO_OAT_LATTE,42,6.20,260.40
POS-20240414-DEMO_SMOOTHIE,2024-04-14,DEMO_SMOOTHIE,16,8.50,136.00
POS-20240415-DEMO_CROISSANT,2024-04-15,DEMO_CROISSANT,24,6.00,144.00
POS-20240415-DEMO_EGG_BREAKFAST,2024-04-15,DEMO_EGG_BREAKFAST,3,22.00,66.00
POS-20240415-DEMO_EGG_SANDWICH,2024-04-15,DEMO_EGG_SANDWICH,11,13.00,143.00
POS-20240415-DEMO_FLAT_WHITE,2024-04-15,DEMO_FLAT_WHITE,73,5.50,401.50
POS-20240415-DEMO_HOT_CHOCOLATE,2024-04-15,DEMO_HOT_CHOCOLATE,20,6.00,120.00
POS-20240415-DEMO_ICED_LATTE,2024-04-15,DEMO_ICED_LATTE,23,6.50,149.50
POS-20240415-DEMO_OAT_LATTE,2024-04-15,DEMO_OAT_LATTE,37,6.20,229.40
POS-20240415-DEMO_SMOOTHIE,2024-04-15,DEMO_SMOOTHIE,12,8.50,102.00
POS-20240416-DEMO_CROISSANT,2024-04-16,DEMO_CROISSANT,29,6.00,174.00
POS-20240416-DEMO_EGG_BREAKFAST,2024-04-16,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240416-DEMO_EGG_SANDWICH,2024-04-16,DEMO_EGG_SANDWICH,13,13.00,169.00
POS-20240416-DEMO_FLAT_WHITE,2024-04-16,DEMO_FLAT_WHITE,74,5.50,407.00
POS-20240416-DEMO_HOT_CHOCOLATE,2024-04-16,DEMO_HOT_CHOCOLATE,20,6.00,120.00
POS-20240416-DEMO_ICED_LATTE,2024-04-16,DEMO_ICED_LATTE,27,6.50,175.50
POS-20240416-DEMO_OAT_LATTE,2024-04-16,DEMO_OAT_LATTE,38,6.20,235.60
POS-20240416-DEMO_SMOOTHIE,2024-04-16,DEMO_SMOOTHIE,13,8.50,110.50
POS-20240417-DEMO_CROISSANT,2024-04-17,DEMO_CROISSANT,28,6.00,168.00
POS-20240417-DEMO_EGG_BREAKFAST,2024-04-17,DEMO_EGG_BREAKFAST,4,22.00,88.00
POS-20240417-DEMO_EGG_SANDWICH,2024-04-17,DEMO_EGG_SANDWICH,13,13.00,169.00
POS-20240417-DEMO_FLAT_WHITE,2024-04-17,DEMO_FLAT_WHITE,71,5.50,390.50
POS-20240417-DEMO_HOT_CHOCOLATE,2024-04-17,DEMO_HOT_CHOCOLATE,19,6.00,114.00
POS-20240417-DEMO_ICED_LATTE,2024-04-17,DEMO_ICED_LATTE,26,6.50,169.00
POS-20240417-DEMO_OAT_LATTE,2024-04-17,DEMO_OAT_LATTE,36,6.20,223.20
POS-20240417-DEMO_SMOOTHIE,2024-04-17,DEMO_SMOOTHIE,14,8.50,119.00
POS-20240418-DEMO_CROISSANT,2024-04-18,DEMO_CROISSANT,30,6.00,180.00
POS-20240418-DEMO_EGG_BREAKFAST,2024-04-18,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240418-DEMO_EGG_SANDWICH,2024-04-18,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240418-DEMO_FLAT_WHITE,2024-04-18,DEMO_FLAT_WHITE,78,5.50,429.00
POS-20240418-DEMO_HOT_CHOCOLATE,2024-04-18,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240418-DEMO_ICED_LATTE,2024-04-18,DEMO_ICED_LATTE,28,6.50,182.00
POS-20240418-DEMO_OAT_LATTE,2024-04-18,DEMO_OAT_LATTE,40,6.20,248.00
POS-20240418-DEMO_SMOOTHIE,2024-04-18,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240419-DEMO_CROISSANT,2024-04-19,DEMO_CROISSANT,32,6.00,192.00
POS-20240419-DEMO_EGG_BREAKFAST,2024-04-19,DEMO_EGG_BREAKFAST,6,22.00,132.00
POS-20240419-DEMO_EGG_SANDWICH,2024-04-19,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240419-DEMO_FLAT_WHITE,2024-04-19,DEMO_FLAT_WHITE,82,5.50,451.00
POS-20240419-DEMO_HOT_CHOCOLATE,2024-04-19,DEMO_HOT_CHOCOLATE,23,6.00,138.00
POS-20240419-DEMO_ICED_LATTE,2024-04-19,DEMO_ICED_LATTE,34,6.50,221.00
POS-20240419-DEMO_OAT_LATTE,2024-04-19,DEMO_OAT_LATTE,42,6.20,260.40
POS-20240419-DEMO_SMOOTHIE,2024-04-19,DEMO_SMOOTHIE,16,8.50,136.00
POS-20240420-DEMO_CROISSANT,2024-04-20,DEMO_CROISSANT,46,6.00,276.00
POS-20240420-DEMO_EGG_BREAKFAST,2024-04-20,DEMO_EGG_BREAKFAST,14,22.00,308.00
POS-20240420-DEMO_EGG_SANDWICH,2024-04-20,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240420-DEMO_FLAT_WHITE,2024-04-20,DEMO_FLAT_WHITE,74,5.50,407.00
POS-20240420-DEMO_HOT_CHOCOLATE,2024-04-20,DEMO_HOT_CHOCOLATE,26,6.00,156.00
POS-20240420-DEMO_ICED_LATTE,2024-04-20,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240420-DEMO_OAT_LATTE,2024-04-20,DEMO_OAT_LATTE,38,6.20,235.60
POS-20240420-DEMO_SMOOTHIE,2024-04-20,DEMO_SMOOTHIE,14,8.50,119.00
POS-20240421-DEMO_CROISSANT,2024-04-21,DEMO_CROISSANT,44,6.00,264.00
POS-20240421-DEMO_EGG_BREAKFAST,2024-04-21,DEMO_EGG_BREAKFAST,13,22.00,286.00
POS-20240421-DEMO_EGG_SANDWICH,2024-04-21,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240421-DEMO_FLAT_WHITE,2024-04-21,DEMO_FLAT_WHITE,73,5.50,401.50
POS-20240421-DEMO_HOT_CHOCOLATE,2024-04-21,DEMO_HOT_CHOCOLATE,25,6.00,150.00
POS-20240421-DEMO_ICED_LATTE,2024-04-21,DEMO_ICED_LATTE,31,6.50,201.50
POS-20240421-DEMO_OAT_LATTE,2024-04-21,DEMO_OAT_LATTE,36,6.20,223.20
POS-20240421-DEMO_SMOOTHIE,2024-04-21,DEMO_SMOOTHIE,14,8.50,119.00
POS-20240422-DEMO_CROISSANT,2024-04-22,DEMO_CROISSANT,30,6.00,180.00
POS-20240422-DEMO_EGG_BREAKFAST,2024-04-22,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240422-DEMO_EGG_SANDWICH,2024-04-22,DEMO_EGG_SANDWICH,15,13.00,195.00
POS-20240422-DEMO_FLAT_WHITE,2024-04-22,DEMO_FLAT_WHITE,78,5.50,429.00
POS-20240422-DEMO_HOT_CHOCOLATE,2024-04-22,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240422-DEMO_ICED_LATTE,2024-04-22,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240422-DEMO_OAT_LATTE,2024-04-22,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240422-DEMO_SMOOTHIE,2024-04-22,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240423-DEMO_CROISSANT,2024-04-23,DEMO_CROISSANT,30,6.00,180.00
POS-20240423-DEMO_EGG_BREAKFAST,2024-04-23,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240423-DEMO_EGG_SANDWICH,2024-04-23,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240423-DEMO_FLAT_WHITE,2024-04-23,DEMO_FLAT_WHITE,79,5.50,434.50
POS-20240423-DEMO_HOT_CHOCOLATE,2024-04-23,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240423-DEMO_ICED_LATTE,2024-04-23,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240423-DEMO_OAT_LATTE,2024-04-23,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240423-DEMO_SMOOTHIE,2024-04-23,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240424-DEMO_CROISSANT,2024-04-24,DEMO_CROISSANT,34,6.00,204.00
POS-20240424-DEMO_EGG_BREAKFAST,2024-04-24,DEMO_EGG_BREAKFAST,6,22.00,132.00
POS-20240424-DEMO_EGG_SANDWICH,2024-04-24,DEMO_EGG_SANDWICH,16,13.00,208.00
POS-20240424-DEMO_FLAT_WHITE,2024-04-24,DEMO_FLAT_WHITE,87,5.50,478.50
POS-20240424-DEMO_HOT_CHOCOLATE,2024-04-24,DEMO_HOT_CHOCOLATE,24,6.00,144.00
POS-20240424-DEMO_ICED_LATTE,2024-04-24,DEMO_ICED_LATTE,36,6.50,234.00
POS-20240424-DEMO_OAT_LATTE,2024-04-24,DEMO_OAT_LATTE,44,6.20,272.80
POS-20240424-DEMO_SMOOTHIE,2024-04-24,DEMO_SMOOTHIE,16,8.50,136.00
POS-20240425-DEMO_CROISSANT,2024-04-25,DEMO_CROISSANT,32,6.00,192.00
POS-20240425-DEMO_EGG_BREAKFAST,2024-04-25,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240425-DEMO_EGG_SANDWICH,2024-04-25,DEMO_EGG_SANDWICH,15,13.00,195.00
POS-20240425-DEMO_FLAT_WHITE,2024-04-25,DEMO_FLAT_WHITE,81,5.50,445.50
POS-20240425-DEMO_HOT_CHOCOLATE,2024-04-25,DEMO_HOT_CHOCOLATE,22,6.00,132.00
POS-20240425-DEMO_ICED_LATTE,2024-04-25,DEMO_ICED_LATTE,29,6.50,188.50
POS-20240425-DEMO_OAT_LATTE,2024-04-25,DEMO_OAT_LATTE,41,6.20,254.20
POS-20240425-DEMO_SMOOTHIE,2024-04-25,DEMO_SMOOTHIE,16,8.50,136.00
POS-20240426-DEMO_CROISSANT,2024-04-26,DEMO_CROISSANT,30,6.00,180.00
POS-20240426-DEMO_EGG_BREAKFAST,2024-04-26,DEMO_EGG_BREAKFAST,4,22.00,88.00
POS-20240426-DEMO_EGG_SANDWICH,2024-04-26,DEMO_EGG_SANDWICH,14,13.00,182.00
POS-20240426-DEMO_FLAT_WHITE,2024-04-26,DEMO_FLAT_WHITE,77,5.50,423.50
POS-20240426-DEMO_HOT_CHOCOLATE,2024-04-26,DEMO_HOT_CHOCOLATE,21,6.00,126.00
POS-20240426-DEMO_ICED_LATTE,2024-04-26,DEMO_ICED_LATTE,28,6.50,182.00
POS-20240426-DEMO_OAT_LATTE,2024-04-26,DEMO_OAT_LATTE,39,6.20,241.80
POS-20240426-DEMO_SMOOTHIE,2024-04-26,DEMO_SMOOTHIE,15,8.50,127.50
POS-20240427-DEMO_CROISSANT,2024-04-27,DEMO_CROISSANT,53,6.00,318.00
POS-20240427-DEMO_EGG_BREAKFAST,2024-04-27,DEMO_EGG_BREAKFAST,15,22.00,330.00
POS-20240427-DEMO_EGG_SANDWICH,2024-04-27,DEMO_EGG_SANDWICH,15,13.00,195.00
POS-20240427-DEMO_FLAT_WHITE,2024-04-27,DEMO_FLAT_WHITE,85,5.50,467.50
POS-20240427-DEMO_HOT_CHOCOLATE,2024-04-27,DEMO_HOT_CHOCOLATE,29,6.00,174.00
POS-20240427-DEMO_ICED_LATTE,2024-04-27,DEMO_ICED_LATTE,32,6.50,208.00
POS-20240427-DEMO_OAT_LATTE,2024-04-27,DEMO_OAT_LATTE,43,6.20,266.60
POS-20240427-DEMO_SMOOTHIE,2024-04-27,DEMO_SMOOTHIE,17,8.50,144.50
POS-20240428-DEMO_CROISSANT,2024-04-28,DEMO_CROISSANT,43,6.00,258.00
POS-20240428-DEMO_EGG_BREAKFAST,2024-04-28,DEMO_EGG_BREAKFAST,13,22.00,286.00
POS-20240428-DEMO_EGG_SANDWICH,2024-04-28,DEMO_EGG_SANDWICH,12,13.00,156.00
POS-20240428-DEMO_FLAT_WHITE,2024-04-28,DEMO_FLAT_WHITE,69,5.50,379.50
POS-20240428-DEMO_HOT_CHOCOLATE,2024-04-28,DEMO_HOT_CHOCOLATE,24,6.00,144.00
POS-20240428-DEMO_ICED_LATTE,2024-04-28,DEMO_ICED_LATTE,30,6.50,195.00
POS-20240428-DEMO_OAT_LATTE,2024-04-28,DEMO_OAT_LATTE,35,6.20,217.00
POS-20240428-DEMO_SMOOTHIE,2024-04-28,DEMO_SMOOTHIE,14,8.50,119.00
POS-20240429-DEMO_CROISSANT,2024-04-29,DEMO_CROISSANT,24,6.00,144.00
POS-20240429-DEMO_EGG_BREAKFAST,2024-04-29,DEMO_EGG_BREAKFAST,3,22.00,66.00
POS-20240429-DEMO_EGG_SANDWICH,2024-04-29,DEMO_EGG_SANDWICH,10,13.00,130.00
POS-20240429-DEMO_FLAT_WHITE,2024-04-29,DEMO_FLAT_WHITE,70,5.50,385.00
POS-20240429-DEMO_HOT_CHOCOLATE,2024-04-29,DEMO_HOT_CHOCOLATE,19,6.00,114.00
POS-20240429-DEMO_ICED_LATTE,2024-04-29,DEMO_ICED_LATTE,22,6.50,143.00
POS-20240429-DEMO_OAT_LATTE,2024-04-29,DEMO_OAT_LATTE,35,6.20,217.00
POS-20240429-DEMO_SMOOTHIE,2024-04-29,DEMO_SMOOTHIE,12,8.50,102.00
POS-20240430-DEMO_CROISSANT,2024-04-30,DEMO_CROISSANT,32,6.00,192.00
POS-20240430-DEMO_EGG_BREAKFAST,2024-04-30,DEMO_EGG_BREAKFAST,5,22.00,110.00
POS-20240430-DEMO_EGG_SANDWICH,2024-04-30,DEMO_EGG_SANDWICH,15,13.00,195.00
POS-20240430-DEMO_FLAT_WHITE,2024-04-30,DEMO_FLAT_WHITE,82,5.50,451.00
POS-20240430-DEMO_HOT_CHOCOLATE,2024-04-30,DEMO_HOT_CHOCOLATE,22,6.00,132.00
POS-20240430-DEMO_ICED_LATTE,2024-04-30,DEMO_ICED_LATTE,29,6.50,188.50
POS-20240430-DEMO_OAT_LATTE,2024-04-30,DEMO_OAT_LATTE,42,6.20,260.40
POS-20240430-DEMO_SMOOTHIE,2024-04-30,DEMO_SMOOTHIE,16,8.50,136.00
