movement_source_key,product_id,movement_datetime,movement_type,quantity_change,source_type,source_id,reason_code,recorded_by
MOV-POS-20240402-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-02T17:00:00+11:00,USE,-1.494000,POS_SALE,POS-20240402-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240402-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-02T17:00:00+11:00,USE,-3.833333,POS_SALE,POS-20240402-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240402-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-02T17:00:00+11:00,USE,-5.666667,POS_SALE,POS-20240402-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240402-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-02T17:00:00+11:00,USE,-0.612000,POS_SALE,POS-20240402-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240402-DEMO_OAT_LATTE-MILK_OAT,MILK_OAT,2024-04-02T17:00:00+11:00,USE,-10.500000,POS_SALE,POS-20240402-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240402-DEMO_OAT_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-02T17:00:00+11:00,USE,-0.756000,POS_SALE,POS-20240402-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240402-DEMO_SMOOTHIE-MILK_OAT,MILK_OAT,2024-04-02T17:00:00+11:00,USE,-3.200000,POS_SALE,POS-20240402-DEMO_SMOOTHIE,,SYSTEM
MOV-WASTE-2024-04-02-MILK_FULL,MILK_FULL,2024-04-02T17:30:00+11:00,WASTE,-0.161000,WASTE_LOG,WASTE-2024-04-02-MILK_FULL,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-02-MILK_OAT,MILK_OAT,2024-04-02T17:30:00+11:00,WASTE,-0.074000,WASTE_LOG,WASTE-2024-04-02-MILK_OAT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-02-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-02T17:30:00+11:00,WASTE,-0.013000,WASTE_LOG,WASTE-2024-04-02-COFFEE_REGULAR,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-02-CROISSANT,CROISSANT,2024-04-02T17:30:00+11:00,WASTE,-2.000000,WASTE_LOG,WASTE-2024-04-02-CROISSANT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-GRI-POI-PO-2024-04-02-2024-04-03-SUP_A-CROISSANT,CROISSANT,2024-04-03T08:00:00+11:00,RECEIVE,36.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-02-2024-04-03-SUP_A-CROISSANT,,Manager
MOV-GRI-POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_FULL,MILK_FULL,2024-04-03T08:00:00+11:00,RECEIVE,18.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_FULL,,Manager
MOV-GRI-POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_OAT,MILK_OAT,2024-04-03T08:00:00+11:00,RECEIVE,15.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-02-2024-04-03-SUP_B-MILK_OAT,,Manager
MOV-GRI-POI-PO-2024-04-02-2024-04-03-SUP_D-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-03T08:00:00+11:00,RECEIVE,8.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-02-2024-04-03-SUP_D-COFFEE_REGULAR,,Manager
MOV-POS-20240403-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-03T17:00:00+11:00,USE,-34.000000,POS_SALE,POS-20240403-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240403-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-03T17:00:00+11:00,USE,-10.000000,POS_SALE,POS-20240403-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240403-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-03T17:00:00+11:00,USE,-16.000000,POS_SALE,POS-20240403-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240403-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-03T17:00:00+11:00,USE,-10.560000,POS_SALE,POS-20240403-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240403-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-03T17:00:00+11:00,USE,-1.584000,POS_SALE,POS-20240403-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240403-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-03T17:00:00+11:00,USE,-4.000000,POS_SALE,POS-20240403-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240403-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-03T17:00:00+11:00,USE,-5.333333,POS_SALE,POS-20240403-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240403-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-03T17:00:00+11:00,USE,-0.576000,POS_SALE,POS-20240403-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240403-DEMO_OAT_LATTE-MILK_OAT,MILK_OAT,2024-04-03T17:00:00+11:00,USE,-11.000000,POS_SALE,POS-20240403-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240403-DEMO_OAT_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-03T17:00:00+11:00,USE,-0.792000,POS_SALE,POS-20240403-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240403-DEMO_SMOOTHIE-MILK_OAT,MILK_OAT,2024-04-03T17:00:00+11:00,USE,-3.400000,POS_SALE,POS-20240403-DEMO_SMOOTHIE,,SYSTEM
MOV-WASTE-2024-04-03-MILK_FULL,MILK_FULL,2024-04-03T17:30:00+11:00,WASTE,-0.231000,WASTE_LOG,WASTE-2024-04-03-MILK_FULL,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-03-MILK_OAT,MILK_OAT,2024-04-03T17:30:00+11:00,WASTE,-0.125000,WASTE_LOG,WASTE-2024-04-03-MILK_OAT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-03-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-03T17:30:00+11:00,WASTE,-0.019000,WASTE_LOG,WASTE-2024-04-03-COFFEE_REGULAR,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-03-CROISSANT,CROISSANT,2024-04-03T17:30:00+11:00,WASTE,-2.000000,WASTE_LOG,WASTE-2024-04-03-CROISSANT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-GRI-POI-PO-2024-04-03-2024-04-04-SUP_A-CROISSANT,CROISSANT,2024-04-04T08:00:00+11:00,RECEIVE,32.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-03-2024-04-04-SUP_A-CROISSANT,,Manager
MOV-GRI-POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_FULL,MILK_FULL,2024-04-04T08:00:00+11:00,RECEIVE,18.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_FULL,,Manager
MOV-GRI-POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_OAT,MILK_OAT,2024-04-04T08:00:00+11:00,RECEIVE,12.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-03-2024-04-04-SUP_B-MILK_OAT,,Manager
MOV-POS-20240404-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-04T17:00:00+11:00,USE,-30.000000,POS_SALE,POS-20240404-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240404-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-04T17:00:00+11:00,USE,-10.000000,POS_SALE,POS-20240404-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240404-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-04T17:00:00+11:00,USE,-14.000000,POS_SALE,POS-20240404-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240404-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-04T17:00:00+11:00,USE,-9.240000,POS_SALE,POS-20240404-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240404-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-04T17:00:00+11:00,USE,-1.386000,POS_SALE,POS-20240404-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240404-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-04T17:00:00+11:00,USE,-3.500000,POS_SALE,POS-20240404-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240404-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-04T17:00:00+11:00,USE,-4.666667,POS_SALE,POS-20240404-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240404-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-04T17:00:00+11:00,USE,-0.504000,POS_SALE,POS-20240404-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240404-DEMO_OAT_LATTE-MILK_OAT,MILK_OAT,2024-04-04T17:00:00+11:00,USE,-9.750000,POS_SALE,POS-20240404-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240404-DEMO_OAT_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-04T17:00:00+11:00,USE,-0.702000,POS_SALE,POS-20240404-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240404-DEMO_SMOOTHIE-MILK_OAT,MILK_OAT,2024-04-04T17:00:00+11:00,USE,-2.800000,POS_SALE,POS-20240404-DEMO_SMOOTHIE,,SYSTEM
MOV-WASTE-2024-04-04-MILK_FULL,MILK_FULL,2024-04-04T17:30:00+11:00,WASTE,-0.197000,WASTE_LOG,WASTE-2024-04-04-MILK_FULL,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-04-MILK_OAT,MILK_OAT,2024-04-04T17:30:00+11:00,WASTE,-0.119000,WASTE_LOG,WASTE-2024-04-04-MILK_OAT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-04-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-04T17:30:00+11:00,WASTE,-0.008000,WASTE_LOG,WASTE-2024-04-04-COFFEE_REGULAR,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-04-CROISSANT,CROISSANT,2024-04-04T17:30:00+11:00,WASTE,-1.000000,WASTE_LOG,WASTE-2024-04-04-CROISSANT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-GRI-POI-PO-2024-04-04-2024-04-05-SUP_A-CROISSANT,CROISSANT,2024-04-05T08:00:00+11:00,RECEIVE,32.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-04-2024-04-05-SUP_A-CROISSANT,,Manager
MOV-GRI-POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_FULL,MILK_FULL,2024-04-05T08:00:00+11:00,RECEIVE,19.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_FULL,,Manager
MOV-GRI-POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_OAT,MILK_OAT,2024-04-05T08:00:00+11:00,RECEIVE,14.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-04-2024-04-05-SUP_B-MILK_OAT,,Manager
MOV-POS-20240405-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-05T17:00:00+11:00,USE,-31.000000,POS_SALE,POS-20240405-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240405-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-05T17:00:00+11:00,USE,-10.000000,POS_SALE,POS-20240405-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240405-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-05T17:00:00+11:00,USE,-15.000000,POS_SALE,POS-20240405-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240405-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-05T17:00:00+11:00,USE,-9.840000,POS_SALE,POS-20240405-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240405-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-05T17:00:00+11:00,USE,-1.476000,POS_SALE,POS-20240405-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240405-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-05T17:00:00+11:00,USE,-3.833333,POS_SALE,POS-20240405-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240405-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-05T17:00:00+11:00,USE,-5.000000,POS_SALE,POS-20240405-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240405-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-05T17:00:00+11:00,USE,-0.540000,POS_SALE,POS-20240405-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240405-DEMO_OAT_LATTE-MILK_OAT,MILK_OAT,2024-04-05T17:00:00+11:00,USE,-10.500000,POS_SALE,POS-20240405-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240405-DEMO_OAT_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-05T17:00:00+11:00,USE,-0.756000,POS_SALE,POS-20240405-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240405-DEMO_SMOOTHIE-MILK_OAT,MILK_OAT,2024-04-05T17:00:00+11:00,USE,-3.200000,POS_SALE,POS-20240405-DEMO_SMOOTHIE,,SYSTEM
MOV-WASTE-2024-04-05-MILK_FULL,MILK_FULL,2024-04-05T17:30:00+11:00,WASTE,-0.235000,WASTE_LOG,WASTE-2024-04-05-MILK_FULL,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-05-MILK_OAT,MILK_OAT,2024-04-05T17:30:00+11:00,WASTE,-0.086000,WASTE_LOG,WASTE-2024-04-05-MILK_OAT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-05-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-05T17:30:00+11:00,WASTE,-0.009000,WASTE_LOG,WASTE-2024-04-05-COFFEE_REGULAR,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-05-CROISSANT,CROISSANT,2024-04-05T17:30:00+11:00,WASTE,-1.000000,WASTE_LOG,WASTE-2024-04-05-CROISSANT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-GRI-POI-PO-2024-04-05-2024-04-06-SUP_A-CROISSANT,CROISSANT,2024-04-06T08:00:00+11:00,RECEIVE,86.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-05-2024-04-06-SUP_A-CROISSANT,,Manager
MOV-GRI-POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_FULL,MILK_FULL,2024-04-06T08:00:00+11:00,RECEIVE,35.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_FULL,,Manager
MOV-GRI-POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_OAT,MILK_OAT,2024-04-06T08:00:00+11:00,RECEIVE,24.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-05-2024-04-06-SUP_B-MILK_OAT,,Manager
MOV-GRI-POI-PO-2024-04-05-2024-04-06-SUP_D-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-06T08:00:00+11:00,RECEIVE,8.000000,GOODS_RECEIPT,GRI-POI-PO-2024-04-05-2024-04-06-SUP_D-COFFEE_REGULAR,,Manager
MOV-POS-20240406-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-06T17:00:00+11:00,USE,-46.000000,POS_SALE,POS-20240406-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240406-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-06T17:00:00+11:00,USE,-28.000000,POS_SALE,POS-20240406-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240406-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-06T17:00:00+11:00,USE,-13.000000,POS_SALE,POS-20240406-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240406-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-06T17:00:00+11:00,USE,-8.880000,POS_SALE,POS-20240406-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240406-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-06T17:00:00+11:00,USE,-1.332000,POS_SALE,POS-20240406-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240406-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-06T17:00:00+11:00,USE,-4.333333,POS_SALE,POS-20240406-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240406-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-06T17:00:00+11:00,USE,-5.333333,POS_SALE,POS-20240406-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240406-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-06T17:00:00+11:00,USE,-0.576000,POS_SALE,POS-20240406-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240406-DEMO_OAT_LATTE-MILK_OAT,MILK_OAT,2024-04-06T17:00:00+11:00,USE,-9.500000,POS_SALE,POS-20240406-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240406-DEMO_OAT_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-06T17:00:00+11:00,USE,-0.684000,POS_SALE,POS-20240406-DEMO_OAT_LATTE,,SYSTEM
MOV-POS-20240406-DEMO_SMOOTHIE-MILK_OAT,MILK_OAT,2024-04-06T17:00:00+11:00,USE,-3.000000,POS_SALE,POS-20240406-DEMO_SMOOTHIE,,SYSTEM
MOV-WASTE-2024-04-06-MILK_FULL,MILK_FULL,2024-04-06T17:30:00+11:00,WASTE,-0.248000,WASTE_LOG,WASTE-2024-04-06-MILK_FULL,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-06-MILK_OAT,MILK_OAT,2024-04-06T17:30:00+11:00,WASTE,-0.110000,WASTE_LOG,WASTE-2024-04-06-MILK_OAT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-06-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-06T17:30:00+11:00,WASTE,-0.015000,WASTE_LOG,WASTE-2024-04-06-COFFEE_REGULAR,SYNTHETIC_NORMAL_WASTE,Manager
MOV-WASTE-2024-04-06-CROISSANT,CROISSANT,2024-04-06T17:30:00+11:00,WASTE,-2.000000,WASTE_LOG,WASTE-2024-04-06-CROISSANT,SYNTHETIC_NORMAL_WASTE,Manager
MOV-POS-20240407-DEMO_CROISSANT-CROISSANT,CROISSANT,2024-04-07T17:00:00+10:00,USE,-39.000000,POS_SALE,POS-20240407-DEMO_CROISSANT,,SYSTEM
MOV-POS-20240407-DEMO_EGG_BREAKFAST-EGGS,EGGS,2024-04-07T17:00:00+10:00,USE,-18.000000,POS_SALE,POS-20240407-DEMO_EGG_BREAKFAST,,SYSTEM
MOV-POS-20240407-DEMO_EGG_SANDWICH-EGGS,EGGS,2024-04-07T17:00:00+10:00,USE,-12.000000,POS_SALE,POS-20240407-DEMO_EGG_SANDWICH,,SYSTEM
MOV-POS-20240407-DEMO_FLAT_WHITE-MILK_FULL,MILK_FULL,2024-04-07T17:00:00+10:00,USE,-8.760000,POS_SALE,POS-20240407-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240407-DEMO_FLAT_WHITE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-07T17:00:00+10:00,USE,-1.314000,POS_SALE,POS-20240407-DEMO_FLAT_WHITE,,SYSTEM
MOV-POS-20240407-DEMO_HOT_CHOCOLATE-MILK_FULL,MILK_FULL,2024-04-07T17:00:00+10:00,USE,-4.166667,POS_SALE,POS-20240407-DEMO_HOT_CHOCOLATE,,SYSTEM
MOV-POS-20240407-DEMO_ICED_LATTE-MILK_FULL,MILK_FULL,2024-04-07T17:00:00+10:00,USE,-4.000000,POS_SALE,POS-20240407-DEMO_ICED_LATTE,,SYSTEM
MOV-POS-20240407-DEMO_ICED_LATTE-COFFEE_REGULAR,COFFEE_REGULAR,2024-04-07T17:00:00+10:00,USE,-0.432000,POS_SALE,POS-20240407-DEMO_ICED_LATTE,,SYSTEM
