receipt_source_key,po_source_key,supplier_id,received_datetime,invoice_number,received_by,receipt_status
GR-PO-2024-04-06-2024-04-08-SUP_C,PO-2024-04-06-2024-04-08-SUP_C,SUP_C,2024-04-08T08:00:00+10:00,DEMO-GR-PO-2024-04-06-2024-04-08-SUP_C,Manager,POSTED
GR-PO-2024-04-07-2024-04-08-SUP_A,PO-2024-04-07-2024-04-08-SUP_A,SUP_A,2024-04-08T08:00:00+10:00,DEMO-GR-PO-2024-04-07-2024-04-08-SUP_A,Manager,POSTED
GR-PO-2024-04-07-2024-04-08-SUP_B,PO-2024-04-07-2024-04-08-SUP_B,SUP_B,2024-04-08T08:00:00+10:00,DEMO-GR-PO-2024-04-07-2024-04-08-SUP_B,Manager,POSTED
GR-PO-2024-04-08-2024-04-09-SUP_A,PO-2024-04-08-2024-04-09-SUP_A,SUP_A,2024-04-09T08:00:00+10:00,DEMO-GR-PO-2024-04-08-2024-04-09-SUP_A,Manager,POSTED
GR-PO-2024-04-08-2024-04-09-SUP_B,PO-2024-04-08-2024-04-09-SUP_B,SUP_B,2024-04-09T08:00:00+10:00,DEMO-GR-PO-2024-04-08-2024-04-09-SUP_B,Manager,POSTED
GR-PO-2024-04-08-2024-04-09-SUP_D,PO-2024-04-08-2024-04-09-SUP_D,SUP_D,2024-04-09T08:00:00+10:00,DEMO-GR-PO-2024-04-08-2024-04-09-SUP_D,Manager,POSTED
GR-PO-2024-04-09-2024-04-10-SUP_A,PO-2024-04-09-2024-04-10-SUP_A,SUP_A,2024-04-10T08:00:00+10:00,DEMO-GR-PO-2024-04-09-2024-04-10-SUP_A,Manager,POSTED
GR-PO-2024-04-09-2024-04-10-SUP_B,PO-2024-04-09-2024-04-10-SUP_B,SUP_B,2024-04-10T08:00:00+10:00,DEMO-GR-PO-2024-04-09-2024-04-10-SUP_B,Manager,POSTED
GR-PO-2024-04-10-2024-04-11-SUP_A,PO-2024-04-10-2024-04-11-SUP_A,SUP_A,2024-04-11T08:00:00+10:00,DEMO-GR-PO-2024-04-10-2024-04-11-SUP_A,Manager,POSTED
GR-PO-2024-04-10-2024-04-11-SUP_B,PO-2024-04-10-2024-04-11-SUP_B,SUP_B,2024-04-11T08:00:00+10:00,DEMO-GR-PO-2024-04-10-2024-04-11-SUP_B,Manager,POSTED
GR-PO-2024-04-11-2024-04-12-SUP_A,PO-2024-04-11-2024-04-12-SUP_A,SUP_A,2024-04-12T08:00:00+10:00,DEMO-GR-PO-2024-04-11-2024-04-12-SUP_A,Manager,POSTED
GR-PO-2024-04-11-2024-04-12-SUP_B,PO-2024-04-11-2024-04-12-SUP_B,SUP_B,2024-04-12T08:00:00+10:00,DEMO-GR-PO-2024-04-11-2024-04-12-SUP_B,Manager,POSTED
GR-PO-2024-04-11-2024-04-12-SUP_D,PO-2024-04-11-2024-04-12-SUP_D,SUP_D,2024-04-12T08:00:00+10:00,DEMO-GR-PO-2024-04-11-2024-04-12-SUP_D,Manager,POSTED
GR-PO-2024-04-12-2024-04-13-SUP_A,PO-2024-04-12-2024-04-13-SUP_A,SUP_A,2024-04-13T08:00:00+10:00,DEMO-GR-PO-2024-04-12-2024-04-13-SUP_A,Manager,POSTED
GR-PO-2024-04-12-2024-04-13-SUP_B,PO-2024-04-12-2024-04-13-SUP_B,SUP_B,2024-04-13T08:00:00+10:00,DEMO-GR-PO-2024-04-12-2024-04-13-SUP_B,Manager,POSTED
GR-PO-2024-04-13-2024-04-15-SUP_A,PO-2024-04-13-2024-04-15-SUP_A,SUP_A,2024-04-15T08:00:00+10:00,DEMO-GR-PO-2024-04-13-2024-04-15-SUP_A,Manager,POSTED
GR-PO-2024-04-13-2024-04-15-SUP_B,PO-2024-04-13-2024-04-15-SUP_B,SUP_B,2024-04-15T08:00:00+10:00,DEMO-GR-PO-2024-04-13-2024-04-15-SUP_B,Manager,POSTED
GR-PO-2024-04-13-2024-04-15-SUP_C,PO-2024-04-13-2024-04-15-SUP_C,SUP_C,2024-04-15T08:00:00+10:00,DEMO-GR-PO-2024-04-13-2024-04-15-SUP_C,Manager,POSTED
GR-PO-2024-04-13-2024-04-15-SUP_D,PO-2024-04-13-2024-04-15-SUP_D,SUP_D,2024-04-15T08:00:00+10:00,DEMO-GR-PO-2024-04-13-2024-04-15-SUP_D,Manager,POSTED
GR-PO-2024-04-14-2024-04-15-SUP_A,PO-2024-04-14-2024-04-15-SUP_A,SUP_A,2024-04-15T08:00:00+10:00,DEMO-GR-PO-2024-04-14-2024-04-15-SUP_A,Manager,POSTED
GR-PO-2024-04-14-2024-04-15-SUP_B,PO-2024-04-14-2024-04-15-SUP_B,SUP_B,2024-04-15T08:00:00+10:00,DEMO-GR-PO-2024-04-14-2024-04-15-SUP_B,Manager,POSTED
GR-PO-2024-04-15-2024-04-16-SUP_A,PO-2024-04-15-2024-04-16-SUP_A,SUP_A,2024-04-16T08:00:00+10:00,DEMO-GR-PO-2024-04-15-2024-04-16-SUP_A,Manager,POSTED
GR-PO-2024-04-15-2024-04-16-SUP_B,PO-2024-04-15-2024-04-16-SUP_B,SUP_B,2024-04-16T08:00:00+10:00,DEMO-GR-PO-2024-04-15-2024-04-16-SUP_B,Manager,POSTED
GR-PO-2024-04-16-2024-04-17-SUP_A,PO-2024-04-16-2024-04-17-SUP_A,SUP_A,2024-04-17T08:00:00+10:00,DEMO-GR-PO-2024-04-16-2024-04-17-SUP_A,Manager,POSTED
GR-PO-2024-04-16-2024-04-17-SUP_B,PO-2024-04-16-2024-04-17-SUP_B,SUP_B,2024-04-17T08:00:00+10:00,DEMO-GR-PO-2024-04-16-2024-04-17-SUP_B,Manager,POSTED
GR-PO-2024-04-17-2024-04-18-SUP_A,PO-2024-04-17-2024-04-18-SUP_A,SUP_A,2024-04-18T08:00:00+10:00,DEMO-GR-PO-2024-04-17-2024-04-18-SUP_A,Manager,POSTED
GR-PO-2024-04-17-2024-04-18-SUP_B,PO-2024-04-17-2024-04-18-SUP_B,SUP_B,2024-04-18T08:00:00+10:00,DEMO-GR-PO-2024-04-17-2024-04-18-SUP_B,Manager,POSTED
GR-PO-2024-04-18-2024-04-19-SUP_A,PO-2024-04-18-2024-04-19-SUP_A,SUP_A,2024-04-19T08:00:00+10:00,DEMO-GR-PO-2024-04-18-2024-04-19-SUP_A,Manager,POSTED
GR-PO-2024-04-18-2024-04-19-SUP_B,PO-2024-04-18-2024-04-19-SUP_B,SUP_B,2024-04-19T08:00:00+10:00,DEMO-GR-PO-2024-04-18-2024-04-19-SUP_B,Manager,POSTED
GR-PO-2024-04-18-2024-04-19-SUP_D,PO-2024-04-18-2024-04-19-SUP_D,SUP_D,2024-04-19T08:00:00+10:00,DEMO-GR-PO-2024-04-18-2024-04-19-SUP_D,Manager,POSTED
GR-PO-2024-04-19-2024-04-20-SUP_A,PO-2024-04-19-2024-04-20-SUP_A,SUP_A,2024-04-20T08:00:00+10:00,DEMO-GR-PO-2024-04-19-2024-04-20-SUP_A,Manager,POSTED
GR-PO-2024-04-19-2024-04-20-SUP_B,PO-2024-04-19-2024-04-20-SUP_B,SUP_B,2024-04-20T08:00:00+10:00,DEMO-GR-PO-2024-04-19-2024-04-20-SUP_B,Manager,POSTED
GR-PO-2024-04-20-2024-04-22-SUP_A,PO-2024-04-20-2024-04-22-SUP_A,SUP_A,2024-04-22T08:00:00+10:00,DEMO-GR-PO-2024-04-20-2024-04-22-SUP_A,Manager,POSTED
GR-PO-2024-04-20-2024-04-22-SUP_B,PO-2024-04-20-2024-04-22-SUP_B,SUP_B,2024-04-22T08:00:00+10:00,DEMO-GR-PO-2024-04-20-2024-04-22-SUP_B,Manager,POSTED
GR-PO-2024-04-20-2024-04-22-SUP_D,PO-2024-04-20-2024-04-22-SUP_D,SUP_D,2024-04-22T08:00:00+10:00,DEMO-GR-PO-2024-04-20-2024-04-22-SUP_D,Manager,POSTED
GR-PO-2024-04-21-2024-04-22-SUP_A,PO-2024-04-21-2024-04-22-SUP_A,SUP_A,2024-04-22T08:00:00+10:00,DEMO-GR-PO-2024-04-21-2024-04-22-SUP_A,Manager,POSTED
GR-PO-2024-04-22-2024-04-23-SUP_A,PO-2024-04-22-2024-04-23-SUP_A,SUP_A,2024-04-23T08:00:00+10:00,DEMO-GR-PO-2024-04-22-2024-04-23-SUP_A,Manager,POSTED
GR-PO-2024-04-22-2024-04-23-SUP_B,PO-2024-04-22-2024-04-23-SUP_B,SUP_B,2024-04-23T08:00:00+10:00,DEMO-GR-PO-2024-04-22-2024-04-23-SUP_B,Manager,POSTED
GR-PO-2024-04-22-2024-04-24-SUP_C,PO-2024-04-22-2024-04-24-SUP_C,SUP_C,2024-04-24T08:00:00+10:00,DEMO-GR-PO-2024-04-22-2024-04-24-SUP_C,Manager,POSTED
GR-PO-2024-04-23-2024-04-24-SUP_A,PO-2024-04-23-2024-04-24-SUP_A,SUP_A,2024-04-24T08:00:00+10:00,DEMO-GR-PO-2024-04-23-2024-04-24-SUP_A,Manager,POSTED
GR-PO-2024-04-23-2024-04-24-SUP_B,PO-2024-04-23-2024-04-24-SUP_B,SUP_B,2024-04-24T08:00:00+10:00,DEMO-GR-PO-2024-04-23-2024-04-24-SUP_B,Manager,POSTED
GR-PO-2024-04-23-2024-04-24-SUP_D,PO-2024-04-23-2024-04-24-SUP_D,SUP_D,2024-04-24T08:00:00+10:00,DEMO-GR-PO-2024-04-23-2024-04-24-SUP_D,Manager,POSTED
GR-PO-2024-04-24-2024-04-25-SUP_A,PO-2024-04-24-2024-04-25-SUP_A,SUP_A,2024-04-25T08:00:00+10:00,DEMO-GR-PO-2024-04-24-2024-04-25-SUP_A,Manager,POSTED
GR-PO-2024-04-24-2024-04-25-SUP_B,PO-2024-04-24-2024-04-25-SUP_B,SUP_B,2024-04-25T08:00:00+10:00,DEMO-GR-PO-2024-04-24-2024-04-25-SUP_B,Manager,POSTED
GR-PO-2024-04-25-2024-04-26-SUP_A,PO-2024-04-25-2024-04-26-SUP_A,SUP_A,2024-04-26T08:00:00+10:00,DEMO-GR-PO-2024-04-25-2024-04-26-SUP_A,Manager,POSTED
GR-PO-2024-04-25-2024-04-26-SUP_B,PO-2024-04-25-2024-04-26-SUP_B,SUP_B,2024-04-26T08:00:00+10:00,DEMO-GR-PO-2024-04-25-2024-04-26-SUP_B,Manager,POSTED
GR-PO-2024-04-26-2024-04-27-SUP_A,PO-2024-04-26-2024-04-27-SUP_A,SUP_A,2024-04-27T08:00:00+10:00,DEMO-GR-PO-2024-04-26-2024-04-27-SUP_A,Manager,POSTED
GR-PO-2024-04-26-2024-04-27-SUP_B,PO-2024-04-26-2024-04-27-SUP_B,SUP_B,2024-04-27T08:00:00+10:00,DEMO-GR-PO-2024-04-26-2024-04-27-SUP_B,Manager,POSTED
GR-PO-2024-04-26-2024-04-27-SUP_D,PO-2024-04-26-2024-04-27-SUP_D,SUP_D,2024-04-27T08:00:00+10:00,DEMO-GR-PO-2024-04-26-2024-04-27-SUP_D,Manager,POSTED
GR-PO-2024-04-27-2024-04-29-SUP_A,PO-2024-04-27-2024-04-29-SUP_A,SUP_A,2024-04-29T08:00:00+10:00,DEMO-GR-PO-2024-04-27-2024-04-29-SUP_A,Manager,POSTED
GR-PO-2024-04-27-2024-04-29-SUP_B,PO-2024-04-27-2024-04-29-SUP_B,SUP_B,2024-04-29T08:00:00+10:00,DEMO-GR-PO-2024-04-27-2024-04-29-SUP_B,Manager,POSTED
GR-PO-2024-04-28-2024-04-29-SUP_A,PO-2024-04-28-2024-04-29-SUP_A,SUP_A,2024-04-29T08:00:00+10:00,DEMO-GR-PO-2024-04-28-2024-04-29-SUP_A,Manager,POSTED
GR-PO-2024-04-29-2024-04-30-SUP_A,PO-2024-04-29-2024-04-30-SUP_A,SUP_A,2024-04-30T08:00:00+10:00,DEMO-GR-PO-2024-04-29-2024-04-30-SUP_A,Manager,POSTED
GR-PO-2024-04-29-2024-04-30-SUP_B,PO-2024-04-29-2024-04-30-SUP_B,SUP_B,2024-04-30T08:00:00+10:00,DEMO-GR-PO-2024-04-29-2024-04-30-SUP_B,Manager,POSTED
